jis_s,old_zip_code_s,zip_code_s,province_ruby_txt_ja,city_ruby_txt_ja,town_ruby_txt_ja,province_txt_ja,city_txt_ja,town_txt_ja
13103,"105  ",1050000,トウキョウト,ミナトク,イカニケイサイガナイバアイ,東京都,港区,以下に掲載がない場合
13103,"107  ",1070052,トウキョウト,ミナトク,アカサカ(ツギノビルヲノゾク),東京都,港区,赤坂（次のビルを除く）
13103,"107  ",1076090,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(チカイ・カイソウフメイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（地階・階層不明）
13103,"107  ",1076001,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(1カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１階）
13103,"107  ",1076002,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(2カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２階）
13103,"107  ",1076003,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(3カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３階）
13103,"107  ",1076004,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(4カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（４階）
13103,"107  ",1076005,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(5カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（５階）
13103,"107  ",1076006,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(6カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（６階）
13103,"107  ",1076007,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(7カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（７階）
13103,"107  ",1076008,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(8カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（８階）
13103,"107  ",1076009,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(9カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（９階）
13103,"107  ",1076010,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(10カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１０階）
13103,"107  ",1076011,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(11カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１１階）
13103,"107  ",1076012,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(12カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１２階）
13103,"107  ",1076013,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(13カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１３階）
13103,"107  ",1076014,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(14カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１４階）
13103,"107  ",1076015,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(15カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１５階）
13103,"107  ",1076016,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(16カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１６階）
13103,"107  ",1076017,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(17カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１７階）
13103,"107  ",1076018,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(18カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１８階）
13103,"107  ",1076019,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(19カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（１９階）
13103,"107  ",1076020,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(20カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２０階）
13103,"107  ",1076021,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(21カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２１階）
13103,"107  ",1076022,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(22カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２２階）
13103,"107  ",1076023,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(23カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２３階）
13103,"107  ",1076024,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(24カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２４階）
13103,"107  ",1076025,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(25カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２５階）
13103,"107  ",1076026,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(26カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２６階）
13103,"107  ",1076027,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(27カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２７階）
13103,"107  ",1076028,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(28カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２８階）
13103,"107  ",1076029,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(29カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（２９階）
13103,"107  ",1076030,トウキョウト,ミナトク,アカサカアカサカアークヒルズ・アークモリビル(30カイ),東京都,港区,赤坂赤坂アークヒルズ・アーク森ビル（３０階）
